gene_id	gene_name	gene_biotype	PH7MLH_1_tpm	PH7MLH_1_count	PH7MLH_2_count	PH7MLH_2_count
ENSG00000007520	TSR3	protein_coding	110.2602743	110.2602743	69.4235254	69.42352541
ENSG00000007541	PIGQ	protein_coding	3.199121924	3.199121923	2.225717457	2.225717457
ENSG00000007545	CRAMP1	protein_coding	4.074635577	4.074635576	6.064895788	6.064895788
ENSG00000007866	TEAD3	protein_coding	7.41789478	7.41789478	0.890939772	0.890939772
ENSG00000007908	SELE	protein_coding	0	0	0	0
ENSG00000007923	DNAJC11	protein_coding	7.475824039	7.47582404	4.908585575	4.908585575
ENSG00000007933	FMO3	protein_coding	0.038765188	0.038765188	0	0
ENSG00000007944	MYLIP	protein_coding	11.10020584	11.10020584	3.430447151	3.430447151
ENSG00000007952	NOX1	protein_coding	0	0	0	0
ENSG00000007968	E2F2	protein_coding	3.344508808	3.344508808	1.94415034	1.94415034
ENSG00000008018	PSMB1	protein_coding	317.3297724	317.3297724	455.3678048	455.3678048
ENSG00000008056	SYN1	protein_coding	0.058241217	0.058241217	0.264544517	0.264544516
ENSG00000008083	JARID2	protein_coding	14.36233512	14.36233512	7.725423504	7.725423505
ENSG00000008086	CDKL5	protein_coding	0.992869711	0.992869711	0.311023055	0.311023055
ENSG00000008118	CAMK1G	protein_coding	0	0	0	0
ENSG00000008128	CDK11A	protein_coding	8.590844644	8.590844644	10.98991014	10.98991014
ENSG00000008130	NADK	protein_coding	12.10569398	12.10569398	8.817401175	8.817401174
ENSG00000008196	TFAP2B	protein_coding	0.494657653	0.494657653	0	0
ENSG00000008197	TFAP2D	protein_coding	0	0	0	0
ENSG00000008226	DLEC1	protein_coding	0	0	0.029617691	0.029617691
ENSG00000008256	CYTH3	protein_coding	4.823128481	4.823128483	7.234451862	7.234451862
ENSG00000008277	ADAM22	protein_coding	1.45795298	1.45795298	4.264934526	4.264934527
ENSG00000008282	SYPL1	protein_coding	110.005067	110.005067	79.40779364	79.40779364
